Community_ID,Community,Community_Type,Population,Latitude,Longitude,NTG_Region,Health centre,Police station,School,Regional council service centre,Community store,Internet,Mobile phone,WiFi,Accessible by road,Aerodrome
14240,Kulgera,Village,0,-25.84084,133.30048,CENTRAL AUSTRALIA,0.5,1,0.5,0.5,1,0.5,0.5,0.5,1,0.5
391,Kungarrewarl,Family Outstation,2,-12.34346,133.05617,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
718,Kuy,Family Outstation,34,-14.03546,129.59784,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
925,Kwale Kwale,Family Outstation,16,-23.76972,133.57451,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
14359,Larrimah,Village,0,-15.5757,133.2163,BIG RIVERS,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5
856,Lizard Bore,Family Outstation,0,-23.30034,131.13465,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
614,Lul-Tju,Family Outstation,0,-18.37671,130.59313,BIG RIVERS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
94,Lyilyalanama,Family Outstation,4,-23.94724,132.74474,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
522,Malkala,Family Outstation,94,-13.8914,136.44224,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
897,Mandedjkadjang,Family Outstation,0,-12.26454,134.03056,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
23547,Mataranka,Village,384,-14.92435,133.06795,BIG RIVERS,1,1,1,0.5,1,0.5,0.5,0.5,1,0.5
872,Merral Ntarrakala,Family Outstation,4,-23.91418,132.82865,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
106,Motna's,Family Outstation,2,-23.94974,132.76946,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
875,Mount Twellar,Family Outstation,17,-23.54198,133.62279,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
380,Mudginberri,Family Outstation,40,-12.59772,132.87334,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
801,Mumukala,Family Outstation,18,-12.61137,132.66648,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
648,Muruning,Family Outstation,28,-15.67527,130.48457,BIG RIVERS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
678,Myatt,Family Outstation,25,-15.70656,130.48335,BIG RIVERS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
886,Nadilmuk,Family Outstation,0,-11.99384,134.29454,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
21684,Newcastle Waters,Village,0,-17.3718,133.4103,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
545,Ngadumiyerrka,Family Outstation,34,-13.82001,136.4564,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
544,Ngayawilli,Family Outstation,9,-11.9943,135.5745,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
770,Ntakarra,Family Outstation,4,-23.89501,132.68001,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
281,Paradise Farm,Family Outstation,12,-12.9391,132.53271,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
407,Paru,Family Outstation,3,-11.74982,130.64642,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
