Community_ID,Community,exit_number,road_name,fclass,osm_id,graph_node_x,graph_node_y,component_id_after_cut,component_size_after_cut,largest_outside_component_size,exit_status
294,Belyuen,2,,track_grade3,441921716,-143927.93,-1324486.84,0,709945,709945,EXTERNAL_EXIT
294,Belyuen,3,,track_grade4,441921721,-144195.14,-1324409.07,0,709945,709945,EXTERNAL_EXIT
294,Belyuen,4,,track_grade5,441921735,-143384.06,-1324413.84,0,709945,709945,EXTERNAL_EXIT
294,Belyuen,5,,track_grade2,441921713,-144557.11,-1324133.28,0,709945,709945,EXTERNAL_EXIT
294,Belyuen,6,,track_grade3,441921707,-142937.36,-1322969.06,9,851,709945,LOCAL_OR_DEAD_END
294,Belyuen,7,,track_grade4,371477365,-144654.79,-1323007.49,17,323,709945,LOCAL_OR_DEAD_END
294,Belyuen,8,,track_grade3,441921708,-143115.31,-1322756.97,9,851,709945,LOCAL_OR_DEAD_END
294,Belyuen,9,Cox Peninsula Road,secondary,29199458,-143289.04,-1322630.92,9,851,709945,LOCAL_OR_DEAD_END
582,Binjari,1,,unclassified,327065304,20213.13,-1543184.15,0,711242,711242,EXTERNAL_EXIT
582,Binjari,2,,unclassified,327065304,19238.19,-1541442.07,122,10,711242,LOCAL_OR_DEAD_END
464,Birany Birany,1,,track_grade4,441160861,492961.88,-1361532.38,0,711243,711243,EXTERNAL_EXIT
586,Bulla,1,,track_grade3,331579438,-212404.18,-1677366.33,0,711010,711010,EXTERNAL_EXIT
586,Bulla,2,,track,475357697,-210418.95,-1677233.26,0,711010,711010,EXTERNAL_EXIT
586,Bulla,3,Janyima Road,unclassified,173590130,-212285.4,-1676713.99,0,711010,711010,EXTERNAL_EXIT
586,Bulla,4,,service,253919737,-212256.87,-1676666.39,0,711010,711010,EXTERNAL_EXIT
586,Bulla,5,,service,253919737,-212245.92,-1676649.18,0,711010,711010,EXTERNAL_EXIT
586,Bulla,6,,track_grade4,331584995,-210926.37,-1676339.29,0,711010,711010,EXTERNAL_EXIT
587,Bulman,1,Central Arnhem Highway,trunk,440865218,255007.21,-1447250.06,0,710892,710892,EXTERNAL_EXIT
587,Bulman,2,,unclassified,442894491,256484.67,-1448582.93,98,19,710892,LOCAL_OR_DEAD_END
