Community_ID,Community,exit_number,osm_id,road_name,fclass,graph_node_x,graph_node_y,status
517,Gurrumuru,3,447980467,,track_grade5,468617.37,-1335881.62,NEW NODE
517,Gurrumuru,4,447980466,,track_grade5,468652.87,-1335956.67,NEW NODE
41,Haasts Bluff,1,143126469,,unclassified,-12591.78,-2529537.04,NEW NODE
41,Haasts Bluff,2,215310464,,unclassified,-12685.77,-2529460.26,NEW NODE
41,Haasts Bluff,3,456153323,,service,-11903.14,-2529720.31,NEW NODE
41,Haasts Bluff,4,777721201,,service,-12243.42,-2529696.98,NEW NODE
41,Haasts Bluff,5,215310440,,track,-12852.96,-2529259.92,NEW NODE
41,Haasts Bluff,6,806407609,,tertiary,-11011.63,-2528792.19,NEW NODE
41,Haasts Bluff,7,143126485,,track,-11164.1,-2528192.03,NEW NODE
43,Hermannsburg,1,93638831,Finke Four Wheel Drive Route,unclassified,79358,-2584773.37,NEW NODE
43,Hermannsburg,2,1223940725,,unclassified,78962.5,-2585241.18,NEW NODE
43,Hermannsburg,3,227896715,Larapinta Drive,primary,78196.27,-2585364.55,NEW NODE
43,Hermannsburg,4,227896707,Larapinta Drive,primary,79421.49,-2584251.83,NEW NODE
43,Hermannsburg,5,1223940779,,track,77476.37,-2584102.68,NEW NODE
43,Hermannsburg,6,467409355,,service,77729.41,-2583683.76,NEW NODE
43,Hermannsburg,7,467409355,,service,77664.44,-2583754.73,NEW NODE
43,Hermannsburg,8,777680340,,track_grade2,79208.96,-2583763.9,NEW NODE
43,Hermannsburg,9,1223940709,,track,78512.53,-2583398.07,NEW NODE
43,Hermannsburg,10,1223940706,,track,78028.28,-2583480.65,NEW NODE
43,Hermannsburg,11,1223940753,,track,78010.99,-2583488.83,NEW NODE
43,Hermannsburg,12,93783958,,track,77484.28,-2584080.58,NEW NODE
600,Hodgson River Station,1,448299769,,track_grade3,226277.16,-1655561.12,NEW NODE
600,Hodgson River Station,2,224736956,Hodgson River Road,unclassified,225890.26,-1655650.76,NEW NODE
600,Hodgson River Station,3,224736956,Hodgson River Road,unclassified,225871.19,-1657459.79,NEW NODE
250,Imangara,1,320800560,,residential,276816.94,-2264860.85,NEW NODE
250,Imangara,2,320800559,,residential,276368.81,-2264752.78,NEW NODE
250,Imangara,3,422803467,,track,277747.03,-2264232.9,NEW NODE
250,Imangara,4,422803467,,track,277010.87,-2262879.66,NEW NODE
250,Imangara,5,422803467,,track,276858.06,-2262862.87,NEW NODE
250,Imangara,6,422803468,,unclassified,275975.16,-2263326.54,NEW NODE
51,Imanpa,1,208044803,Imanpa Road,unclassified,56998.51,-2718305.45,NEW NODE
51,Imanpa,2,208044501,,track_grade3,56794.03,-2718321.4,NEW NODE
51,Imanpa,3,474805901,,track_grade4,57698.21,-2716848.95,NEW NODE
51,Imanpa,4,1367268133,Gully Road,track_grade3,56635.04,-2716339.92,NEW NODE
51,Imanpa,5,745928307,Waterhole Road,track,56879.03,-2716325.58,NEW NODE
51,Imanpa,6,1367268135,Gully Road,track_grade3,56430.4,-2716400.82,NEW NODE
51,Imanpa,7,1367268130,Waterhole Road,track,56875.52,-2716325.41,NEW NODE
51,Imanpa,8,208044818,Bore Access,track_grade3,56403.66,-2716413.47,NEW NODE
63,Irrultja,1,458467572,,track_grade5,318500.13,-2369593.96,NEW NODE
63,Irrultja,2,446453437,Binns Track,unclassified,318930.62,-2367642.91,NEW NODE
63,Irrultja,3,776436286,,track_grade3,319653.92,-2368879.41,NEW NODE
63,Irrultja,4,322007963,,unclassified,318580.81,-2367619.2,NEW NODE
593,Jilkminggan,1,1545407520,,tertiary,141693.78,-1587944.46,NEW NODE
593,Jilkminggan,2,769940403,,unclassified,141714.96,-1587928.75,NEW NODE
593,Jilkminggan,3,422688295,,unclassified,140093.88,-1587081.31,NEW NODE
593,Jilkminggan,4,422688289,,track_grade3,140357.18,-1586470.22,NEW NODE
603,Kalkarindji,1,769267652,,unclassified,-124953.08,-1862269.23,NEW NODE
603,Kalkarindji,2,769267652,,unclassified,-125238.62,-1861499.16,NEW NODE
603,Kalkarindji,3,769267652,,unclassified,-125144.33,-1861138.48,NEW NODE
603,Kalkarindji,4,29132372,,unclassified,-124710.58,-1860683.35,NEW NODE
603,Kalkarindji,5,769278587,,unclassified,-123338.12,-1861141.46,NEW NODE
603,Kalkarindji,6,188724855,Buntine Highway,primary,-123253.78,-1861712.01,NEW NODE
603,Kalkarindji,7,732316155,Buntine Highway,primary,-124690.16,-1862459.45,NEW NODE
66,Kaltukatjara,1,187125785,,track_grade2,-290791.43,-2692155.59,NEW NODE
66,Kaltukatjara,2,187125450,,track,-292598.37,-2692600.65,NEW NODE
66,Kaltukatjara,3,359222813,,track,-291723.95,-2693022.17,NEW NODE
66,Kaltukatjara,4,359222826,,track,-291063.98,-2692720.31,NEW NODE
66,Kaltukatjara,5,359222808,,track,-292329.74,-2692861.04,NEW NODE
66,Kaltukatjara,6,359222838,,track,-292594.38,-2692606.03,NEW NODE
66,Kaltukatjara,7,778212153,,track,-290786.8,-2692124.33,NEW NODE
66,Kaltukatjara,8,40613649,,residential,-290974.4,-2691436.97,NEW NODE
66,Kaltukatjara,9,187125465,,track,-290824.12,-2691737.6,NEW NODE
66,Kaltukatjara,10,359222806,,track,-290853.06,-2691655.86,NEW NODE
66,Kaltukatjara,11,740132682,,residential,-292691.08,-2691611.48,NEW NODE
66,Kaltukatjara,12,187125462,,residential,-290931.38,-2691501.03,NEW NODE
66,Kaltukatjara,13,186986103,Docker River Community Access Road,residential,-291898.7,-2691032.62,NEW NODE
66,Kaltukatjara,14,778212352,,track,-291243.84,-2691182.97,NEW NODE
66,Kaltukatjara,15,399509194,,track,-292595.02,-2691444.85,NEW NODE
72,Kintore,1,399723293,,track,-264164.98,-2513112.39,NEW NODE
72,Kintore,2,189340138,,residential,-264152.03,-2513104.62,NEW NODE
72,Kintore,3,185819811,Ngutjul Road,unclassified,-263992.48,-2512983.73,NEW NODE
72,Kintore,4,189336567,,residential,-264824.93,-2511265.07,NEW NODE
72,Kintore,5,189336566,Tjunarriti Road,unclassified,-265499.39,-2511690.26,NEW NODE
72,Kintore,6,185819813,Kintore Road,tertiary,-264349.86,-2511306.89,NEW NODE
608,Kybrook Farm,1,29251852,Umbrawarra Road,unclassified,-20401.1,-1467547.24,NEW NODE
608,Kybrook Farm,2,29251852,Umbrawarra Road,unclassified,-19624.94,-1466148.98,NEW NODE
608,Kybrook Farm,3,591367295,Kybrook Farm Access Road,unclassified,-18715.23,-1466505.91,NEW NODE
609,Lajamanu,1,188702780,Lajamanu-Warrego Road,unclassified,-143018.36,-1960753.33,NEW NODE
609,Lajamanu,2,777980384,,unclassified,-144649.13,-1959602.06,NEW NODE
609,Lajamanu,3,188702781,,unclassified,-144696.6,-1959684.47,NEW NODE
609,Lajamanu,4,188702788,,residential,-143769.8,-1959142.54,NEW NODE
609,Lajamanu,5,49047815,Lajamanu Road,tertiary,-144805.35,-1960096.96,NEW NODE
609,Lajamanu,6,49047815,Lajamanu Road,tertiary,-144211.82,-1959227.04,NEW NODE
86,Laramba,1,1388496423,Tillmouth Well-Napperby,track,76100.13,-2426904.61,NEW NODE
86,Laramba,2,1388496424,Rubbish Dump Access,track,77330.18,-2427687.98,NEW NODE
86,Laramba,3,745748293,Laramba Road,unclassified,78043.97,-2426992.69,NEW NODE
86,Laramba,4,1388496427,,unclassified,78058.62,-2426934.19,NEW NODE
86,Laramba,5,99019376,Napperby,track,77250.84,-2425735.6,NEW NODE
86,Laramba,6,776156039,Napperby,unclassified,76463.62,-2425935.87,NEW NODE
86,Laramba,7,776155364,Napperby,service,77635.87,-2425887.55,NEW NODE
721,Likkaparta,1,451050843,,unclassified,265749.1,-2074761.81,NEW NODE
721,Likkaparta,2,143376179,,track_grade5,265820.06,-2072765.3,NEW NODE
362,Maningrida,1,213563144,,track,246150.36,-1272668.68,NEW NODE
362,Maningrida,2,213563069,,track,247833.72,-1271892.92,NEW NODE
362,Maningrida,3,213563069,,track,247835.76,-1271950.1,NEW NODE
362,Maningrida,4,213563069,,track,247836.14,-1271942.17,NEW NODE
362,Maningrida,5,213563087,,track,246015.24,-1272512.06,NEW NODE
362,Maningrida,6,449880188,,residential,247718.84,-1272412.01,NEW NODE
362,Maningrida,7,213563109,,residential,247657.05,-1272512.05,NEW NODE
362,Maningrida,8,213563066,,residential,245941.12,-1272385.93,NEW NODE
362,Maningrida,9,213563063,,residential,247700.27,-1272443.33,NEW NODE
