Community_ID,Community,exit_number,osm_id,road_name,fclass,exit_x,exit_y
41,Haasts Bluff,4,777721201,,service,-12243.423737005904,-2529696.983054127
41,Haasts Bluff,5,215310440,,track,-12852.95904594374,-2529259.919525992
41,Haasts Bluff,6,806407609,,tertiary,-11011.63245883256,-2528792.1859614854
41,Haasts Bluff,7,143126485,,track,-11164.095713694673,-2528192.030820552
43,Hermannsburg,1,93638831,Finke Four Wheel Drive Route,unclassified,79358.00288050003,-2584773.3726562024
43,Hermannsburg,2,1223940725,,unclassified,78962.50410579807,-2585241.1833642074
43,Hermannsburg,3,227896715,Larapinta Drive,primary,78196.26708893369,-2585364.545916834
43,Hermannsburg,4,227896707,Larapinta Drive,primary,79421.49287617598,-2584251.8349078484
43,Hermannsburg,5,1223940779,,track,77476.36907332625,-2584102.6793535007
43,Hermannsburg,6,467409355,,service,77729.41488139296,-2583683.7551166066
43,Hermannsburg,7,467409355,,service,77664.4379698069,-2583754.728917073
43,Hermannsburg,8,777680340,,track_grade2,79208.9569202615,-2583763.901917762
43,Hermannsburg,9,1223940709,,track,78512.53089941405,-2583398.074676211
43,Hermannsburg,10,1223940706,,track,78028.27761304128,-2583480.6494928645
43,Hermannsburg,11,1223940753,,track,78010.98678323287,-2583488.8274463094
43,Hermannsburg,12,93783958,,track,77484.275193609,-2584080.583227554
600,Hodgson River Station,1,448299769,,track_grade3,226277.1624662084,-1655561.1216063744
600,Hodgson River Station,2,224736956,Hodgson River Road,unclassified,225890.2591824222,-1655650.7604828735
600,Hodgson River Station,3,224736956,Hodgson River Road,unclassified,225871.19397797223,-1657459.7944091335
250,Imangara,1,320800560,,residential,276816.94494128384,-2264860.8541269787
250,Imangara,2,320800559,,residential,276368.8145522406,-2264752.780560963
250,Imangara,3,422803467,,track,277747.02844598907,-2264232.9018335366
250,Imangara,4,422803467,,track,277010.8678154066,-2262879.661834384
250,Imangara,5,422803467,,track,276858.0641268201,-2262862.874183029
250,Imangara,6,422803468,,unclassified,275975.16392874037,-2263326.535664574
51,Imanpa,1,208044803,Imanpa Road,unclassified,56998.50789685659,-2718305.4513096325
51,Imanpa,2,208044501,,track_grade3,56794.03275673044,-2718321.4018104267
51,Imanpa,3,474805901,,track_grade4,57698.209619065135,-2716848.9526122347
51,Imanpa,4,1367268133,Gully Road,track_grade3,56635.03747210138,-2716339.918662072
51,Imanpa,5,745928307,Waterhole Road,track,56879.03048662404,-2716325.5774811343
51,Imanpa,6,1367268135,Gully Road,track_grade3,56430.398284908566,-2716400.8241112917
51,Imanpa,7,1367268130,Waterhole Road,track,56875.524509394985,-2716325.4052435174
51,Imanpa,8,208044818,Bore Access,track_grade3,56403.65661606442,-2716413.4719787035
63,Irrultja,1,458467572,,track_grade5,318500.1252755047,-2369593.958976377
63,Irrultja,2,446453437,Binns Track,unclassified,318930.6171678144,-2367642.9055052195
63,Irrultja,3,776436286,,track_grade3,319653.9187431195,-2368879.4109596834
63,Irrultja,4,322007963,,unclassified,318580.81026042625,-2367619.2011670386
593,Jilkminggan,1,1545407520,,tertiary,141693.77571625402,-1587944.4619856437
593,Jilkminggan,2,769940403,,unclassified,141714.96110324134,-1587928.7498318118
593,Jilkminggan,3,422688295,,unclassified,140093.88088648787,-1587081.3098789165
593,Jilkminggan,4,422688289,,track_grade3,140357.18452631863,-1586470.21561091
603,Kalkarindji,1,769267652,,unclassified,-124953.07647864323,-1862269.2289436301
603,Kalkarindji,2,769267652,,unclassified,-125238.62272783139,-1861499.1618267181
603,Kalkarindji,3,769267652,,unclassified,-125144.33468585818,-1861138.4766486946
603,Kalkarindji,4,29132372,,unclassified,-124710.58222760144,-1860683.3528811801
603,Kalkarindji,5,769278587,,unclassified,-123338.12239355526,-1861141.4618682663
603,Kalkarindji,6,188724855,Buntine Highway,primary,-123253.78316304681,-1861712.006785338
603,Kalkarindji,7,732316155,Buntine Highway,primary,-124690.16195407615,-1862459.4538410478
66,Kaltukatjara,1,187125785,,track_grade2,-290791.43234993017,-2692155.587722271
66,Kaltukatjara,2,187125450,,track,-292598.365899531,-2692600.6547160265
66,Kaltukatjara,3,359222813,,track,-291723.95206539845,-2693022.1658076723
66,Kaltukatjara,4,359222826,,track,-291063.9809819453,-2692720.3093309407
66,Kaltukatjara,5,359222808,,track,-292329.74435099296,-2692861.039480103
66,Kaltukatjara,6,359222838,,track,-292594.3827334729,-2692606.025393737
66,Kaltukatjara,7,778212153,,track,-290786.79599561304,-2692124.331960308
66,Kaltukatjara,8,40613649,,residential,-290974.39656711556,-2691436.969433044
66,Kaltukatjara,9,187125465,,track,-290824.1248670776,-2691737.602870753
66,Kaltukatjara,10,359222806,,track,-290853.0649079093,-2691655.8569081915
66,Kaltukatjara,11,740132682,,residential,-292691.07911330904,-2691611.48167069
66,Kaltukatjara,12,187125462,,residential,-290931.3835586888,-2691501.025547506
66,Kaltukatjara,13,186986103,Docker River Community Access Road,residential,-291898.6974400981,-2691032.6249120263
66,Kaltukatjara,14,778212352,,track,-291243.844191326,-2691182.971798059
66,Kaltukatjara,15,399509194,,track,-292595.0200365279,-2691444.8479952426
72,Kintore,1,399723293,,track,-264164.9838773224,-2513112.38600391
72,Kintore,2,189340138,,residential,-264152.0332582659,-2513104.623701571
72,Kintore,3,185819811,Ngutjul Road,unclassified,-263992.4846822009,-2512983.730531523
72,Kintore,4,189336567,,residential,-264824.93083627545,-2511265.0658683167
72,Kintore,5,189336566,Tjunarriti Road,unclassified,-265499.38662525656,-2511690.255891885
72,Kintore,6,185819813,Kintore Road,tertiary,-264349.8648803612,-2511306.887110099
608,Kybrook Farm,1,29251852,Umbrawarra Road,unclassified,-20401.101247420793,-1467547.2368283279
608,Kybrook Farm,2,29251852,Umbrawarra Road,unclassified,-19624.943707649047,-1466148.9834877898
608,Kybrook Farm,3,591367295,Kybrook Farm Access Road,unclassified,-18715.2289138582,-1466505.9075351972
609,Lajamanu,1,188702780,Lajamanu-Warrego Road,unclassified,-143018.3587053447,-1960753.3281733964
609,Lajamanu,2,777980384,,unclassified,-144649.12767167602,-1959602.0613599492
609,Lajamanu,3,188702781,,unclassified,-144696.60234112738,-1959684.4689927243
609,Lajamanu,4,188702788,,residential,-143769.79636763287,-1959142.5410717255
609,Lajamanu,5,49047815,Lajamanu Road,tertiary,-144805.3544061955,-1960096.9558395166
609,Lajamanu,6,49047815,Lajamanu Road,tertiary,-144211.81602790038,-1959227.0392397905
86,Laramba,1,1388496423,Tillmouth Well-Napperby,track,76100.1349471133,-2426904.6064441293
86,Laramba,2,1388496424,Rubbish Dump Access,track,77330.17831758963,-2427687.980902058
86,Laramba,3,745748293,Laramba Road,unclassified,78043.96755832797,-2426992.68739862
86,Laramba,4,1388496427,,unclassified,78058.62081337317,-2426934.188325319
86,Laramba,5,99019376,Napperby,track,77250.8387437002,-2425735.6031961488
86,Laramba,6,776156039,Napperby,unclassified,76463.62144894052,-2425935.8654653155
86,Laramba,7,776155364,Napperby,service,77635.86628675486,-2425887.553051327
721,Likkaparta,1,451050843,,unclassified,265749.10239174066,-2074761.812169362
721,Likkaparta,2,143376179,,track_grade5,265820.06227661745,-2072765.2982049661
362,Maningrida,1,213563144,,track,246150.36202124672,-1272668.6813953891
362,Maningrida,2,213563069,,track,247833.7186817399,-1271892.920227836
362,Maningrida,3,213563069,,track,247835.75576770527,-1271950.1039209887
362,Maningrida,4,213563069,,track,247836.13804090052,-1271942.1674149027
362,Maningrida,5,213563087,,track,246015.2370675236,-1272512.0602473367
362,Maningrida,6,449880188,,residential,247718.83687536468,-1272412.0057541155
362,Maningrida,7,213563109,,residential,247657.05160438293,-1272512.05354909
362,Maningrida,8,213563066,,residential,245941.11607048623,-1272385.9345561625
362,Maningrida,9,213563063,,residential,247700.26685017007,-1272443.3330064244
362,Maningrida,10,1266055744,,residential,247834.78534572438,-1271969.8573142032
362,Maningrida,11,1266055750,,track,247835.41809573336,-1271927.5125943609
362,Maningrida,12,1274749461,,track,247823.36556107138,-1271790.5590310378
362,Maningrida,13,1266055751,,track,247233.30529538772,-1271025.2139957426
362,Maningrida,14,1266055751,,track,247267.13385809405,-1271041.2137143216
362,Maningrida,15,1266055748,,track,247313.14390491092,-1271063.6834258954
362,Maningrida,16,213563106,,track,247278.10824659743,-1271046.4042135207
363,Manmoyi,1,355352500,,unclassified,234080.70644282934,-1325592.5510757873
363,Manmoyi,2,355352500,,unclassified,232476.8899893672,-1325407.8184413454
595,Manyallaluk,1,478476929,,track,91324.37765605848,-1511731.5013194964
595,Manyallaluk,2,203879214,,unclassified,90719.98256485355,-1512443.1441693637
595,Manyallaluk,3,449638359,,track,90371.44074009488,-1510516.209044025
595,Manyallaluk,4,475485701,,track,91330.55775064125,-1511704.5120694623
524,Mapuru,1,453738208,,track_grade3,381962.37160168955,-1297140.7086196512
524,Mapuru,2,447694295,,unclassified,381952.3454847594,-1296586.441436926
524,Mapuru,3,453709251,,track_grade4,380623.2500658231,-1295955.4545106187
252,Marlinja,1,94231357,,track,149332.92213620938,-1854459.5040453775
252,Marlinja,2,94231357,,track,149921.42717859964,-1854280.6582491787
252,Marlinja,3,33723700,,unclassified,150143.86439039442,-1854067.6888246927
252,Marlinja,4,33723700,,unclassified,150117.4380499258,-1854101.7675649822
252,Marlinja,5,33723700,,unclassified,149977.29354378645,-1854239.2249289197
252,Marlinja,6,453730269,Newcastle Waters Road,unclassified,150334.672648151,-1853634.4300314712
252,Marlinja,7,777690116,,unclassified,148803.82462891834,-1852623.7392582041
624,Minyerri,1,224736956,Hodgson River Road,unclassified,225547.08832567552,-1616735.0106938453
624,Minyerri,2,224736956,Hodgson River Road,unclassified,224596.444575145,-1618186.057098984
624,Minyerri,3,327344852,,service,224491.562095287,-1617831.1462847905
112,Mount Liebig,1,399080181,,track,-74147.47010689185,-2509510.9345215233
112,Mount Liebig,2,143122348,,track,-73936.8983943602,-2509605.894814952
112,Mount Liebig,3,769662021,,unclassified,-72944.16836928744,-2509372.2372888103
112,Mount Liebig,4,143120750,,unclassified,-74619.17119416592,-2508465.512356759
112,Mount Liebig,5,189326475,,unclassified,-73194.57877413034,-2507756.78706834
112,Mount Liebig,6,189327444,,unclassified,-74607.0985564761,-2508413.944916618
112,Mount Liebig,7,189326465,Wattyawanu Road,unclassified,-73216.95974177509,-2507746.2016589935
112,Mount Liebig,8,143122358,,track,-72861.85254877858,-2508021.040769489
112,Mount Liebig,9,215311922,,track,-74287.37944694198,-2509411.0034387102
244,Mungkarta,1,770268090,,track_grade3,227751.3521231539,-2184357.8963578083
244,Mungkarta,2,226561044,,residential,229237.18130041863,-2183098.7295385404
120,Mutitjulu,1,777678482,,unclassified,-92491.49206855013,-2743324.231106845
120,Mutitjulu,2,32641778,,track,-93193.48662486499,-2743330.2439355943
120,Mutitjulu,3,32641724,,track,-93596.14574351539,-2743057.0382778547
120,Mutitjulu,4,32641695,,track,-93531.24950744929,-2743123.3711501313
120,Mutitjulu,5,205190634,,track,-93824.39638713693,-2742616.1766289724
120,Mutitjulu,6,32641828,,track,-91965.01397149665,-2741928.989030615
120,Mutitjulu,7,32640323,,unclassified,-92181.44441157712,-2741650.781156484
120,Mutitjulu,8,32641521,,unclassified,-93370.31371144364,-2741538.8844717443
120,Mutitjulu,9,32640345,,track,-92343.24078767044,-2741531.829160838
397,Nauiyu,1,400814175,Twin Peaks Road,unclassified,-144294.98943817167,-1456317.072365287
397,Nauiyu,2,777685739,,track,-142691.44657302092,-1455866.9858542767
397,Nauiyu,3,30128628,Nauiyu Road,unclassified,-142671.0096069668,-1455792.3764234155
397,Nauiyu,4,175961401,Mango Farm Road,unclassified,-144136.33666043522,-1454691.9045749307
397,Nauiyu,5,777674845,,unclassified,-144539.21195441493,-1455120.1634378163
397,Nauiyu,6,777675655,,track,-142967.8677205249,-1454823.9233560015
397,Nauiyu,7,98871796,Twin Peaks Road,unclassified,-144522.7664191921,-1456034.6652443502
542,Ngangalala,1,447678284,,unclassified,330550.9192434063,-1300276.4250243302
542,Ngangalala,2,776250757,,track_grade3,331080.00558031676,-1299643.973356592
404,Nganmarriyanga,1,777663982,,service,-230754.53882783564,-1523242.785219532
404,Nganmarriyanga,2,777663981,,service,-230620.30749293164,-1523138.7637578542
404,Nganmarriyanga,3,323254511,Palumpa Access Road,unclassified,-230600.89274362504,-1523121.167254783
404,Nganmarriyanga,4,320164572,Airstrip Road,unclassified,-232244.18305414956,-1522090.4292603533
404,Nganmarriyanga,5,777673205,,track_grade3,-232157.8029400366,-1521899.0313440105
404,Nganmarriyanga,6,777646912,,track_grade2,-230936.89678076658,-1521469.5264698092
404,Nganmarriyanga,7,777646907,,track_grade3,-231300.55666240593,-1521402.498855108
404,Nganmarriyanga,8,777673202,,track_grade3,-231903.2808658389,-1521609.8915583275
404,Nganmarriyanga,9,467427001,Port Keats Road,secondary,-232201.64085204247,-1522821.2248907415
404,Nganmarriyanga,10,467427001,Port Keats Road,secondary,-230855.86927065364,-1523299.4337894125
633,Ngukurr,1,445293778,,track,296186.999910347,-1565892.6442980561
633,Ngukurr,2,295004955,,track,297991.3587142346,-1565570.0853334742
633,Ngukurr,3,295004950,,unclassified,297973.2996751164,-1565638.300912889
633,Ngukurr,4,295004950,,unclassified,297982.3094087589,-1565071.7074039062
633,Ngukurr,5,445293775,,track,296093.7469120507,-1564961.7914815345
633,Ngukurr,6,914040365,,primary,297500.00814660476,-1564462.4398902406
633,Ngukurr,7,445293771,,track,297269.8643281378,-1564371.994937322
633,Ngukurr,8,29221574,Nulawan Access Road,unclassified,297577.0328783868,-1566169.0478163548
639,Nitjpurru,1,778188675,,track_grade2,-83079.78690658192,-1792358.9157220656
639,Nitjpurru,2,368610503,,residential,-83470.83867634834,-1790406.768292216
639,Nitjpurru,3,778186578,,track_grade3,-84238.98820048441,-1791886.9862597743
127,Nturiya,1,456568749,,track,128812.37149247933,-2382194.0927388305
127,Nturiya,2,321690643,,unclassified,128623.63869449843,-2380876.4493194693
127,Nturiya,3,215104253,Nturiya Road,unclassified,130163.36958059372,-2382137.0810190225
549,Numbulwar,1,301175590,,unclassified,407107.6020612331,-1518356.9766759425
549,Numbulwar,2,456580828,,unclassified,407326.56915210077,-1517923.1130111357
549,Numbulwar,3,301175594,,unclassified,408439.6460157496,-1517643.7283529053
549,Numbulwar,4,948034278,Numbulwar Road,primary,407149.11206062254,-1518933.5126542123
128,Nyirripi,1,94066175,,unclassified,-146363.92336162415,-2440532.6642573015
128,Nyirripi,2,590569084,,unclassified,-147442.32762709807,-2441455.5131213353
128,Nyirripi,3,399077089,,track,-147402.61556164932,-2441457.4640500084
128,Nyirripi,4,909227666,,unclassified,-147334.36069860024,-2441458.2655119575
128,Nyirripi,5,399077092,,track,-148185.25759655097,-2441023.9339086227
128,Nyirripi,6,591037306,,track,-148323.44893406008,-2440725.163930964
128,Nyirripi,7,94069939,,unclassified,-148325.64472153806,-2440202.6848523985
128,Nyirripi,8,399077117,,track,-146471.1399364918,-2440003.515451041
128,Nyirripi,9,103324072,,unclassified,-146461.0626866408,-2440024.8220057036
128,Nyirripi,10,590569046,,unclassified,-148124.90968985594,-2439815.8449822604
128,Nyirripi,11,399077101,,track,-146599.02771732755,-2439812.2312680027
128,Nyirripi,12,399077104,,track,-147363.14789874494,-2439459.679736414
128,Nyirripi,13,591037333,,track,-146915.9892775057,-2439564.824051196
128,Nyirripi,14,94092108,Emu Bore Road,unclassified,-148323.4348802265,-2440193.862671356
26,Orrtipa-Thurra,1,193289870,Bonya Road,unclassified,423971.5278425168,-2462526.3114045127
26,Orrtipa-Thurra,2,193289902,,residential,423035.21592682344,-2461802.175912197
26,Orrtipa-Thurra,3,193289902,,residential,422998.0434593045,-2461567.6809069477
26,Orrtipa-Thurra,4,193289902,,residential,423612.57493123884,-2462451.012597227
26,Orrtipa-Thurra,5,193289905,,track,423569.76850578847,-2460624.2675341954
131,Papunya,1,189318493,Gary Junction Road,tertiary,-9996.749260754299,-2501233.4286996797
131,Papunya,2,143126491,,unclassified,-8437.71082261968,-2502218.8013004353
131,Papunya,3,189318540,,track,-8729.822816312864,-2502360.1381625384
131,Papunya,4,189318540,,track,-9104.445892493219,-2502396.596394711
131,Papunya,5,189318547,,track,-9761.357849271175,-2502061.525719924
131,Papunya,6,189318556,,track,-9517.705015640682,-2502262.4423195207
131,Papunya,7,189318549,,track,-8020.10500252246,-2501521.9907299452
131,Papunya,8,143126493,,unclassified,-9310.241496712419,-2502355.201396703
131,Papunya,9,777916311,,track_grade3,-8668.4391065038,-2502339.0552062667
131,Papunya,10,189318492,Gary Junction Road,tertiary,-8389.761735887474,-2502183.239834067
131,Papunya,11,189318505,Warumpi Road,unclassified,-8019.368052173422,-2501285.2628477695
131,Papunya,12,1382226626,,track,-8601.130314674752,-2500490.548468877
131,Papunya,13,143120730,Mount Wedge Road,unclassified,-8268.70151776466,-2500733.8604161157
131,Papunya,14,189318553,,track,-8074.108379601449,-2501744.935843025
131,Papunya,15,777916668,,track_grade3,-9877.098493478434,-2501900.4448828828
131,Papunya,16,189318558,,track,-8112.602469102958,-2501835.793903107
131,Papunya,17,777917158,,track_grade2,-10010.936834191565,-2501381.4741170118
131,Papunya,18,376676244,,service,-8104.983035932656,-2500982.601496808
131,Papunya,19,1382226630,,track,-8876.631883917871,-2500411.4841231504
410,Peppimenarti,1,320163319,Peppimenarti Road,tertiary,-209200.62555769744,-1500526.6221898352
410,Peppimenarti,2,776690515,,service,-209433.29912923826,-1500837.08087263
410,Peppimenarti,3,320163324,,unclassified,-209170.0926852378,-1500457.2738067089
410,Peppimenarti,4,777646785,,service,-209205.7483631935,-1499651.089725127
410,Peppimenarti,5,320163330,,unclassified,-209252.53419712256,-1499567.0815924734
410,Peppimenarti,6,777648916,,track_grade4,-209881.8745299915,-1499119.5103734825
138,Pmara Jutunta,1,776256877,,track_grade2,145481.26790329057,-2390493.6357554197
138,Pmara Jutunta,2,776255148,,service,145562.8341313737,-2390398.260890058
138,Pmara Jutunta,3,776259373,,track_grade2,145977.1101131219,-2390144.6437752717
138,Pmara Jutunta,4,485428762,Stuart Highway,trunk,145861.22291359585,-2392007.00781929
138,Pmara Jutunta,5,485428762,Stuart Highway,trunk,146031.77844380526,-2390130.001036786
138,Pmara Jutunta,6,226561241,,unclassified,146539.60178347756,-2392062.103636373
138,Pmara Jutunta,7,776256878,,track_grade2,145476.84702301427,-2390499.5966224326
