Community_ID,Community,Population,Accessible by road,osm_id,name,fclass,road_distance_m,component_id,component_size
465,Bodia,56,0.5,1368381542,,track,38.70740349,13,367
952,Wiitin,0,1,794399115,,service,39.44629172,0,710399
14240,Kulgera,0,1,93973538,Kulgera Crescent,service,40.24065753,0,710399
609,Lajamanu,767,1,188702792,,residential,40.6539905,0,710399
771,Ipalala,3,1,448800813,,unclassified,40.73292039,0,710399
473,Dhalinybuy,92,1,1238173570,,track_grade2,41.27904928,0,710399
542,Ngangalala,70,1,447678284,,unclassified,41.38583093,0,710399
374,Milikapiti,486,0,1301600941,,residential,41.40659308,2,5790
106,Motna's,2,1,179051593,,service,41.87554481,0,710399
877,Wataru,10,1,399509192,,track,42.95771085,0,710399
149,Tjamangkurra,6,1,459803623,,track_grade3,43.03246683,0,710399
576,Yirrkala,771,1,62220048,Gurrumuru Road,residential,43.04174582,0,710399
43,Hermannsburg,647,1,172293679,Raberaba Circuit,residential,44.13286505,0,710399
187,Wilora,69,1,770236725,,service,44.56882922,0,710399
186,Willowra,261,1,770267895,,service,46.84850568,0,710399
477,Dhipirrinjura,50,1,445443556,,track_grade4,48.14745551,15,328
52,Importna,5,1,93776305,,residential,49.77237007,0,710399
916,Angatyepe,11,1,440540132,,residential,51.14090277,0,710399
614,Lul-Tju,0,1,188736186,Parnta Access Road,unclassified,51.48800135,0,710399
250,Imangara,79,1,745880979,,residential,51.80184134,0,710399
861,Rutjingka,4,1,93786570,,track,54.81675232,0,710399
458,Baniyala,138,1,441135203,,residential,57.26422493,0,710399
639,Nitjpurru,142,1,458060102,,residential,58.65635543,0,710399
10,Ampilatwatja,515,1,320796768,Middle Street,residential,60.80911898,0,710399
65,Iwupataka,0,0.5,448898853,,track_grade3,61.315821,0,710399
133,Phillipson Bore,6,1,376369383,,unclassified,62.78745277,0,710399
197,Yuelamu,175,1,143574649,,residential,66.20508548,0,710399
24904,Brumby Plains,28,1,440949744,,track_grade5,80.40746936,0,710399
935,Itchy Koo Park,46,1,448897359,,unclassified,82.09627333,0,710399
162,Ulpanyali,13,1,93652313,,track,97.31203521,0,710399
42,Atitjere,239,1,193303668,Quartz Street,residential,104.3698198,0,710399
824,Jemelke,4,1,208044571,,track,120.818411,0,710399
46,Dons Bore,2,1,188551915,,unclassified,141.9917824,0,710399
120,Mutitjulu,314,1,32640272,,residential,154.4288422,0,710399
281,Paradise Farm,12,1,330896188,,track,184.7032725,0,710399
